version, pyversion, url
#16.0.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-16/python3-clang-16_16.0.1~%2b%2b20230328073207%2b42d1b276f779-1~exp1~20230328073220.62_amd64.deb
#15.0.7, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-15/python3-clang-15_15.0.7~%2b%2b20230317110556%2b8dfdcc7b7bf6-1~exp1~20230317110643.127_amd64.deb
#14.0.6, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-14/python3-clang-14_14.0.6~%2b%2b20230130095011%2bf28c006a5895-1~exp1~20230130215051.177_amd64.deb
#13.0.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-13/python3-clang-13_13.0.1~%2b%2b20220126091935%2b75e33f71c2da-1~exp1~20220126212020.65_amd64.deb
#12.0.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-12/python3-clang-12_12.0.1~%2b%2b20211029101259%2bfed41342a82f-1~exp1~20211029221820.5_amd64.deb
#11.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-11/python3-clang-11_11.1.0~%2b%2b20211114101220%2b1fdec59bffc1-1~exp1~20211114221643.10_amd64.deb
#11.0, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-11/python3-clang-11_11.0.0~%2b%2b20200808123325%2b279922f108c-1~exp1~20200807223952.39_i386.deb
#10.0.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-10/python3-clang-10_10.0.1~%2b%2b20200809072601%2bef32c611aa2-1~exp1~20200809173202.199_i386.deb
#9.0, 2, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-9/python-clang-9_9~%2b20191211112125%2bc1a0a213378-1~exp1~20191211223511.119_i386.deb
#8.0.1, 3, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-8/python3-clang-8_8.0.1%2bsvn369350-1~exp1~20200303215641.87_i386.deb
#7.1.0, 2, https://apt.llvm.org/unstable/pool/main/l/llvm-toolchain-7/python-clang-7_7.1.0~svn353565-1~exp1~20190406085125.68_i386.deb
